,Postleitzahl,Ort,Name,Straße,Anzahl Empfehlungen,Latitude,Longitude,Komplette Addresse
1137,91054,Erlangen,Eishaus,Luitpoldstr. 15,118,49.5966336,11.0147688,"Eishaus, Luitpoldstr. 15, 91054 Erlangen"
1138,91054,Erlangen,Café Bassanese,Marktplatz 1,4,49.5972509,11.0036616,"Café Bassanese, Marktplatz 1, 91054 Erlangen"
1139,91058,Erlangen,Eiszeit,Gedbbertstr. 95,53,49.58506,11.01794,"Eiszeit, Gedbbertstr. 95, 91058 Erlangen"
1140,91074,Herzogenaurach,Eiscafe Carlo,Erlanger Str. 8,6,49.5675307,10.8854896,"Eiscafe Carlo, Erlanger Str. 8, 91074 Herzogenaurach"
1141,91126,Schwabach,Eiscafé De Rocco,Ludwigstr. 10,45,49.32891,11.02361,"Eiscafé De Rocco, Ludwigstr. 10, 91126 Schwabach"
1142,91161,Hilpoltstein,Ettore,Christoph-Sturm-Str. 7,4,49.1887592,11.1920305,"Ettore, Christoph-Sturm-Str. 7, 91161 Hilpoltstein"
1143,91207,Lauf an der Pegnitz,Campo-Eis,Marktplatz 35,15,49.5124,11.2823,"Campo-Eis, Marktplatz 35, 91207 Lauf an der Pegnitz"
1144,91207,Lauf an der Pegnitz,Eislounge,Schmiedstr. 4,8,49.5080959,11.2769482,"Eislounge, Schmiedstr. 4, 91207 Lauf an der Pegnitz"
1145,91207,Lauf an der Pegnitz,Dolomiddi,Johannisstr. 19,20,49.5105044,11.2806197,"Dolomiddi, Johannisstr. 19, 91207 Lauf an der Pegnitz"
1146,91217,Hersbruck,Der Eisladen,Prager Str. 15,3,49.5089911,11.4305765,"Der Eisladen, Prager Str. 15, 91217 Hersbruck"
1147,91522,Ansbach,Eiscafè Antonio Quarta,Bahnhofsplatz  7,4,49.2989,10.5766,"Eiscafè Antonio Quarta, Bahnhofsplatz  7, 91522 Ansbach"
1148,91541,Rothenburg ob der Tauber,Paolo D Isep,Hafengasse 17,46,49.3770276,10.1805812,"Paolo D Isep, Hafengasse 17, 91541 Rothenburg ob der Tauber"
1149,92224,Amberg,Cadore Eiscafé,Bahnhofstr. 11,3,49.4463269,11.8605915,"Cadore Eiscafé, Bahnhofstr. 11, 92224 Amberg"
1150,92245,Kümmersbruck,Eiscafe Eisiglu,Vilstalstr. 99,3,49.4187899999999,11.8795,"Eiscafe Eisiglu, Vilstalstr. 99, 92245 Kümmersbruck"
1151,93047,Regensburg,Aamu Italian Cafe & Ice Cream,Thundorferstr. 10,7,49.0204487,12.1008182,"Aamu Italian Cafe & Ice Cream, Thundorferstr. 10, 93047 Regensburg"
1152,93047,Regensburg,Diba Chocolat,Rote-Hahnen-Gasse 6,46,49.0191664,12.0930579,"Diba Chocolat, Rote-Hahnen-Gasse 6, 93047 Regensburg"
1153,93047,Regensburg,Stenz,Bismarckplatz 8,404,49.0187951,12.0902474,"Stenz, Bismarckplatz 8, 93047 Regensburg"
1154,93047,Regensburg,Eiscafé Piccolo,Drei-Mohren-Str. 2,7,49.0196062,12.0901904,"Eiscafé Piccolo, Drei-Mohren-Str. 2, 93047 Regensburg"
1155,93133,Burglengenfeld,Eis Europa,Regensburger Str. 22,4,49.2046316,12.0427261,"Eis Europa, Regensburger Str. 22, 93133 Burglengenfeld"
1156,94032,Passau,Eiscafé Rialto,Rindermarkt 6,18,48.57587,13.46214,"Eiscafé Rialto, Rindermarkt 6, 94032 Passau"
1157,94032,Passau,Eiscafé Fontanella,Ludwigstr. 20,10,48.5741024,13.4585077,"Eiscafé Fontanella, Ludwigstr. 20, 94032 Passau"
1158,94315,Straubing,Poldis Eis im Turm,Ludwigsplatz,5,48.8818701,12.5676489,"Poldis Eis im Turm, Ludwigsplatz, 94315 Straubing"
1159,94526,Metten,Eisdiele Fontanella,Donaustraße 1,25,48.85445,12.91525,"Eisdiele Fontanella, Donaustraße 1, 94526 Metten"
1160,95028,Hof,Venezia Eiscafé,Altstadt 36,29,50.316733,11.9148193,"Venezia Eiscafé, Altstadt 36, 95028 Hof"
1161,95028,Hof,Dolomiti Eiscafe,Bismarckstr. 12,11,50.3154052999999,11.9151352,"Dolomiti Eiscafe, Bismarckstr. 12, 95028 Hof"
1162,95028,Hof,Florida Eisdiele,Königstr. 38,120,50.31168,11.92105,"Florida Eisdiele, Königstr. 38, 95028 Hof"
1163,95100,Selb,Eiscafe Cortina,Marktplatz 12,4,50.1694982,12.1314829,"Eiscafe Cortina, Marktplatz 12, 95100 Selb"
1164,95326,Kulmbach,Sanremo,Marktplatz 9,7,50.10724,11.45771,"Sanremo, Marktplatz 9, 95326 Kulmbach"
1165,95444,Bayreuth,Eis Opera,Opernstr. 9,17,49.94464,11.57756,"Eis Opera, Opernstr. 9, 95444 Bayreuth"
1166,95632,Wunsiedel,Eis Oase,Marktplatz 4,17,50.0375046,12.0024868,"Eis Oase, Marktplatz 4, 95632 Wunsiedel"
1167,96047,Bamberg,Cafe Riffelmacher,Obere Brücke 12,14,49.8918566,10.8881217,"Cafe Riffelmacher, Obere Brücke 12, 96047 Bamberg"
1168,96047,Bamberg,Lido Eis Café,Keßlerstr. 14,4,49.8927418,10.8893105,"Lido Eis Café, Keßlerstr. 14, 96047 Bamberg"
1169,96049,Bamberg,Bassanese,Karolnenstr. 2,4,49.89149,10.88669,"Bassanese, Karolnenstr. 2, 96049 Bamberg"
1170,96052,Bamberg,Eiscafe Bassano,Obere Königstr. 2,4,49.8969377,10.8918669,"Eiscafe Bassano, Obere Königstr. 2, 96052 Bamberg"
1171,96106,Ebern,Eiscafe Alpi,Spitaltorstr. 1,16,50.09478,10.79297,"Eiscafe Alpi, Spitaltorstr. 1, 96106 Ebern"
1172,96132,Schlüsselfeld,Eis Capriccio,Marktplatz 13,23,49.757122,10.6182319,"Eis Capriccio, Marktplatz 13, 96132 Schlüsselfeld"
1173,96317,Kronach,Eiscafé Fontana,Johann-Nikolaus-Zitter-Straße 45,6,50.23914,11.32528,"Eiscafé Fontana, Johann-Nikolaus-Zitter-Straße 45, 96317 Kronach"
1174,96450,Coburg,Eiscafe Adria,Hindenburgstr. 14,25,50.2634806,10.9650892,"Eiscafe Adria, Hindenburgstr. 14, 96450 Coburg"
1175,96450,Coburg,Cortina Eiscafe Fam. Da Col,Spitalgasse 29,24,50.25995,10.96472,"Cortina Eiscafe Fam. Da Col, Spitalgasse 29, 96450 Coburg"
1176,97070,Würzburg,Fontana,Beim Grafeneckart 8,3,49.79307,9.92809,"Fontana, Beim Grafeneckart 8, 97070 Würzburg"
1177,97070,Würzburg,Eiscafé Benito,Schustergasse 2,8,49.7934687,9.9297399,"Eiscafé Benito, Schustergasse 2, 97070 Würzburg"
1178,97070,Würzburg,Köhler,Karmelitenstr. 1,3,49.7932326,9.9275241,"Köhler, Karmelitenstr. 1, 97070 Würzburg"
1179,97070,Würzburg,Casa Prima,Hofstr. 18,11,49.7931824,9.93549449999999,"Casa Prima, Hofstr. 18, 97070 Würzburg"
1180,97070,Würzburg,Bar D.O.C,Beim Grafeneckart 15,5,49.7925892,9.928974,"Bar D.O.C, Beim Grafeneckart 15, 97070 Würzburg"
1181,97209,Veitshöchheim,Eis Stephan,Bahnhofstr. 24,134,49.83313,9.87305,"Eis Stephan, Bahnhofstr. 24, 97209 Veitshöchheim"
1182,97337,Dettelbach,Eiscafe Galeria,Kirchplatz 2,3,49.80219,10.16179,"Eiscafe Galeria, Kirchplatz 2, 97337 Dettelbach"
1183,97340,Marktbreit,Cremamarena,Ochsenfurther Str. 22,10,49.66728,10.14236,"Cremamarena, Ochsenfurther Str. 22, 97340 Marktbreit"
1184,97437,Haßfurt,Bassanese,Marktplatz 1,4,50.031914,10.5068017,"Bassanese, Marktplatz 1, 97437 Haßfurt"
1185,97816,Lohr,Café Bernhard,Jahnstraße,8,49.9985,9.58175,"Café Bernhard, Jahnstraße, 97816 Lohr"
1186,97980,Bad Mergentheim,Eiscafé Venezia,Kirchstr. 9,6,49.49151,9.77235999999999,"Eiscafé Venezia, Kirchstr. 9, 97980 Bad Mergentheim"
1187,98574,Schmalkalden,Viba Nougat-Welt,Nougat-Allee 1,14,50.7186779,10.432257,"Viba Nougat-Welt, Nougat-Allee 1, 98574 Schmalkalden"
1188,99084,Erfurt,Zucker & Zimt,Marktstr. 5,13,50.9777657,11.0274975,"Zucker & Zimt, Marktstr. 5, 99084 Erfurt"
1189,99084,Erfurt,San Remo,Marktstr. 21,23,50.9776313,11.0255882,"San Remo, Marktstr. 21, 99084 Erfurt"
1190,99084,Erfurt,Eiscafé Venezia,Domplatz 21,3,50.9768309,11.0250447,"Eiscafé Venezia, Domplatz 21, 99084 Erfurt"
1191,99084,Erfurt,Riva,Lange Brücke 64,9,50.976082,11.0262908,"Riva, Lange Brücke 64, 99084 Erfurt"
1192,99084,Erfurt,Goldhelm Eiskrämer,Krämerbrücke 15,118,50.978951,11.031328,"Goldhelm Eiskrämer, Krämerbrücke 15, 99084 Erfurt"
1193,99084,Erfurt,Eiscafé Riva,Lange Brücke 64,17,50.976082,11.0262908,"Eiscafé Riva, Lange Brücke 64, 99084 Erfurt"
1194,99091,Erfurt,Eiscafe Schimmis Eiseck,Ringstr. 13,3,51.022801,10.9906228,"Eiscafe Schimmis Eiseck, Ringstr. 13, 99091 Erfurt"
1195,99423,Weimar,Eiscafé Venezia,Theaterplatz 1,4,50.97931,11.3261,"Eiscafé Venezia, Theaterplatz 1, 99423 Weimar"
1196,99423,Weimar,Eiscafé Giancarlo,Schillerstr. 11,5,50.97841,11.32725,"Eiscafé Giancarlo, Schillerstr. 11, 99423 Weimar"
1197,99423,Weimar,Biebereis,Erfurter Straße 35,90,50.980551,11.318262,"Biebereis, Erfurter Straße 35, 99423 Weimar"
1198,99706,Sondershausen,Eisdiele Franzberg,Bahnhofstr. 2,26,51.36939,10.84886,"Eisdiele Franzberg, Bahnhofstr. 2, 99706 Sondershausen"
1199,99734,Nordhausen,Eiscafé Verona,Bahnhofstr. 8 a,3,51.4949837,10.7904107,"Eiscafé Verona, Bahnhofstr. 8 a, 99734 Nordhausen"
1200,99817,Eisenach,Toccata,Markt 2,12,50.97506,10.32041,"Toccata, Markt 2, 99817 Eisenach"
